Contestant,my_eurovision_scoreboard_points,eurovision_world_points,eurojury_jury_points,eurojury_online_points,discord_points,wiwiblogs_points,ogae_points
Russia,104296,13468,146,80,2404,,392
Ukraine,99503,13057,120,143,5280,,88
France,82562,7137,179,165,1839,,425
Netherlands,17461,5043,107,67,538,,0
Australia,115780,4799,284,58,3181,,280
Malta,27024,3730,95,121,857,,6
Poland,34301,3626,33,47,1144,,28
Croatia,32230,3190,50,127,1159,,63
Sweden,29020,3073,179,85,644,,79
Armenia,90195,3014,44,64,3309,,13
Spain,46067,2936,141,141,834,,155
Lithuania,21032,2154,25,30,455,,6
Serbia,27928,2129,45,55,1447,,42
Hungary,44020,2080,11,53,1497,,80
Bulgaria,112538,1866,57,167,3741,,175
Cyprus,27499,1743,70,35,1420,,59
Belgium,36523,1636,144,34,1306,,2
United Kingdom,7314,1615,86,51,131,,0
Ireland,3821,1467,59,53,97,,8
Israel,21653,1335,64,24,425,,4
Latvia,41951,1219,19,98,2071,,110
Italy,41266,1165,77,71,1744,,170
Austria,38925,1126,19,44,1322,,128
Germany,20717,1017,11,44,621,,4
Azerbaijan,32936,996,84,31,669,,35
Greece,5054,895,7,10,247,,0
Norway,22395,871,33,42,717,,15
Denmark,9910,618,46,8,295,,0
Albania,8171,483,8,7,185,,0
Czech Republic,33411,443,45,78,1289,,36
Bosnia and Herzegovina,8839,439,3,142,491,,0
Iceland,30806,425,17,75,1933,,44
Estonia,15808,390,13,53,583,,31
Finland,5856,375,38,24,126,,0
North Macedonia,6504,284,15,36,274,,6
Georgia,12263,277,23,15,1920,,0
Slovenia,4556,277,15,21,284,,6
Switzerland,6187,217,5,36,161,,0
Belarus,12099,213,10,11,361,,0
San Marino,3435,156,15,13,219,,4
Moldova,6234,130,0,10,260,,0
Montenegro,2985,59,3,6,428,,0
